Title,Url
This is a teenager,https://pudding.cool/2024/03/teenagers/
Redis Is Forked,https://vickiboykis.com/2024/04/16/redis-is-forked/
AT&T Fiber Internet Privacy controls are horribly broken,https://github.com/sleaze/att-fiber-internet-shameful-broken-dns-hijacking
Loading a trillion rows of weather data into TimescaleDB,https://aliramadhan.me/2024/03/31/trillion-rows.html
"How to Stop Losing 17,500 Kidneys",https://www.statecraft.pub/p/how-to-stop-losing-17500-kidneys
Distributed Authorization,https://www.osohq.com/post/distributed-authorization
Hiring Full Stack Engineers at Apriora (YC W24),https://www.ycombinator.com/companies/apriora/jobs/IoC1DU7-full-stack-software-engineer
Descent 3 Source Code,https://github.com/kevinbentley/Descent3
A curious phenomenon called 'Etak',https://maphappenings.com/2024/04/11/story-of-etak/
Palo Alto – Putting the Protecc in GlobalProtect (CVE-2024-3400),https://labs.watchtowr.com/palo-alto-putting-the-protecc-in-globalprotect-cve-2024-3400/
